TRIP_ID,SPACE_AND_TIME
1378246512620000520,"[[-8.61399, 41.141259, 1378246512], [-8.614665, 41.14125, 1378246527], [-8.616114, 41.140719, 1378246542], [-8.61642, 41.140566, 1378246557], [-8.617455, 41.140926, 1378246572], [-8.619129, 41.141808, 1378246587], [-8.620137, 41.142447, 1378246602], [-8.622018, 41.143689, 1378246617], [-8.624673, 41.144625, 1378246632], [-8.626554, 41.144787, 1378246647], [-8.627472, 41.144706, 1378246662], [-8.629974, 41.145156, 1378246677], [-8.631351, 41.146065, 1378246692], [-8.632665, 41.146911, 1378246707], [-8.631963, 41.147946, 1378246722], [-8.630613, 41.149719, 1378246737], [-8.629461, 41.151096, 1378246752], [-8.629254, 41.15124, 1378246767], [-8.629092, 41.151735, 1378246782], [-8.62884, 41.152302, 1378246797], [-8.628849, 41.152455, 1378246812], [-8.630379, 41.152887, 1378246827], [-8.633196, 41.152293, 1378246842], [-8.635806, 41.151627, 1378246857], [-8.639127, 41.151735, 1378246872], [-8.64063, 41.151663, 1378246887], [-8.642556, 41.15196, 1378246902], [-8.6445, 41.153715, 1378246917], [-8.645976, 41.156946, 1378246932], [-8.648361, 41.159925, 1378246947], [-8.648802, 41.163219, 1378246962], [-8.643672, 41.166018, 1378246977], [-8.641251, 41.167521, 1378246992], [-8.641674, 41.167512, 1378247007], [-8.644032, 41.169006, 1378247022], [-8.646903, 41.171292, 1378247037], [-8.650449, 41.174199, 1378247052], [-8.654202, 41.177214, 1378247067], [-8.658261, 41.180472, 1378247082], [-8.661384, 41.182938, 1378247097], [-8.664786, 41.185656, 1378247112], [-8.668377, 41.188338, 1378247127], [-8.673138, 41.189391, 1378247142], [-8.677854, 41.190642, 1378247157], [-8.681058, 41.193675, 1378247172], [-8.684244, 41.196753, 1378247187], [-8.687376, 41.199867, 1378247202], [-8.688087, 41.202036, 1378247217], [-8.687151, 41.20371, 1378247232], [-8.687331, 41.204952, 1378247247], [-8.688771, 41.2047, 1378247262], [-8.691354, 41.204592, 1378247277], [-8.692713, 41.203926, 1378247292], [-8.6931, 41.202873, 1378247307], [-8.692794, 41.202783, 1378247322], [-8.692722, 41.202693, 1378247337], [-8.692803, 41.202738, 1378247352]]"
1378247022620000269,"[[-8.604225, 41.161077, 1378247022], [-8.604216, 41.161113, 1378247037], [-8.604495, 41.161698, 1378247052], [-8.605953, 41.162157, 1378247067], [-8.607537, 41.162391, 1378247082], [-8.608797, 41.162661, 1378247097], [-8.609022, 41.162472, 1378247112], [-8.610111, 41.162463, 1378247127], [-8.61174, 41.162724, 1378247142], [-8.61507, 41.163255, 1378247157], [-8.618562, 41.163633, 1378247172], [-8.621667, 41.164002, 1378247187], [-8.624214, 41.164353, 1378247202], [-8.624349, 41.164443, 1378247217], [-8.624808, 41.164416, 1378247232], [-8.626941, 41.164605, 1378247247], [-8.63019, 41.165028, 1378247262], [-8.632728, 41.164191, 1378247277], [-8.635005, 41.163039, 1378247292], [-8.636625, 41.162229, 1378247307], [-8.638245, 41.161689, 1378247322], [-8.640126, 41.16087, 1378247337], [-8.641575, 41.160231, 1378247352], [-8.641854, 41.160006, 1378247367], [-8.6418, 41.159988, 1378247382], [-8.641656, 41.160024, 1378247397], [-8.642169, 41.160105, 1378247412], [-8.643546, 41.160348, 1378247427], [-8.643555, 41.160438, 1378247442], [-8.643996, 41.16015, 1378247457], [-8.644878, 41.159025, 1378247472], [-8.645544, 41.157396, 1378247487], [-8.646561, 41.155875, 1378247502], [-8.647911, 41.15484, 1378247517], [-8.649045, 41.154444, 1378247532], [-8.650008, 41.154048, 1378247547], [-8.651142, 41.152815, 1378247562], [-8.651763, 41.153139, 1378247577], [-8.65377, 41.153472, 1378247592], [-8.655039, 41.153103, 1378247607], [-8.655399, 41.153373, 1378247622]]"
1378245972620000611,"[[-8.622153, 41.144022, 1378245972], [-8.62236, 41.143977, 1378245987], [-8.624187, 41.144499, 1378246002], [-8.626347, 41.144796, 1378246017], [-8.628597, 41.144733, 1378246032], [-8.630388, 41.145345, 1378246047], [-8.631216, 41.14593, 1378246062], [-8.632503, 41.146803, 1378246077], [-8.632107, 41.147748, 1378246092], [-8.630892, 41.149134, 1378246107], [-8.629749, 41.150529, 1378246122], [-8.629254, 41.150979, 1378246137], [-8.629272, 41.150997, 1378246152], [-8.628993, 41.151447, 1378246167], [-8.628624, 41.152086, 1378246182], [-8.628894, 41.152392, 1378246197], [-8.630856, 41.152851, 1378246212], [-8.633061, 41.152689, 1378246227], [-8.636193, 41.152554, 1378246242], [-8.637237, 41.152923, 1378246257], [-8.637471, 41.152932, 1378246272], [-8.640486, 41.153625, 1378246287], [-8.642196, 41.154165, 1378246302], [-8.643735, 41.154525, 1378246317], [-8.645706, 41.154426, 1378246332], [-8.647956, 41.154273, 1378246347], [-8.649144, 41.154282, 1378246362], [-8.649369, 41.154264, 1378246377], [-8.649315, 41.154219, 1378246392], [-8.649639, 41.154192, 1378246407], [-8.650314, 41.154444, 1378246422], [-8.6508, 41.155749, 1378246437], [-8.65179, 41.156811, 1378246452], [-8.652285, 41.157342, 1378246467], [-8.653455, 41.156973, 1378246482], [-8.653734, 41.157009, 1378246497], [-8.653743, 41.156991, 1378246512], [-8.653752, 41.15691, 1378246527], [-8.653743, 41.156937, 1378246542], [-8.653797, 41.156973, 1378246557], [-8.652807, 41.156928, 1378246572], [-8.652159, 41.157432, 1378246587]]"
1378245815620000497,"[[-8.610984, 41.145543, 1378245815], [-8.610444, 41.146137, 1378245830], [-8.60931, 41.146758, 1378245845], [-8.60859, 41.147424, 1378245860], [-8.60796, 41.148333, 1378245875], [-8.607897, 41.148504, 1378245890], [-8.60769, 41.148675, 1378245905], [-8.606385, 41.148315, 1378245920], [-8.606259, 41.148288, 1378245935], [-8.604441, 41.147784, 1378245950], [-8.602497, 41.147253, 1378245965], [-8.601417, 41.147244, 1378245980], [-8.598834, 41.148162, 1378245995], [-8.598717, 41.149161, 1378246010], [-8.597844, 41.1507, 1378246025], [-8.597088, 41.152104, 1378246040], [-8.597088, 41.152131, 1378246055], [-8.597133, 41.152149, 1378246070], [-8.597106, 41.152122, 1378246085]]"
1378246575620000129,"[[-8.601156, 41.147847, 1378246575], [-8.601138, 41.147847, 1378246590], [-8.601651, 41.147289, 1378246605], [-8.601948, 41.147901, 1378246620], [-8.602056, 41.148801, 1378246635], [-8.602065, 41.148801, 1378246650], [-8.602173, 41.148999, 1378246665], [-8.603856, 41.149323, 1378246680], [-8.605521, 41.149737, 1378246695], [-8.605935, 41.149719, 1378246710], [-8.606916, 41.150097, 1378246725], [-8.6067, 41.150691, 1378246740], [-8.606187, 41.151663, 1378246755], [-8.605638, 41.152635, 1378246770], [-8.605584, 41.153571, 1378246785], [-8.606943, 41.153589, 1378246800], [-8.608707, 41.153598, 1378246815], [-8.609697, 41.153643, 1378246830], [-8.609724, 41.153724, 1378246845], [-8.609733, 41.153769, 1378246860], [-8.609895, 41.153778, 1378246875], [-8.610066, 41.152878, 1378246890], [-8.610057, 41.152779, 1378246905], [-8.610039, 41.152752, 1378246920], [-8.610012, 41.152734, 1378246935], [-8.609949, 41.152698, 1378246950], [-8.609913, 41.15268, 1378246965], [-8.609841, 41.152653, 1378246980], [-8.609769, 41.152626, 1378246995], [-8.60976, 41.152626, 1378247010]]"
1378246473620000473,"[[-8.63694, 41.169357, 1378246473], [-8.63694, 41.169357, 1378246488], [-8.636823, 41.169249, 1378246503], [-8.6364, 41.168979, 1378246518], [-8.636337, 41.168952, 1378246533], [-8.636247, 41.16897, 1378246548], [-8.636148, 41.168916, 1378246563], [-8.637273, 41.168241, 1378246578], [-8.638785, 41.166549, 1378246593], [-8.640108, 41.166081, 1378246608], [-8.640747, 41.166432, 1378246623], [-8.640351, 41.168214, 1378246638], [-8.638254, 41.169843, 1378246653], [-8.63469, 41.171391, 1378246668], [-8.630442, 41.172264, 1378246683], [-8.626293, 41.172984, 1378246698], [-8.62209, 41.173371, 1378246713], [-8.617572, 41.173812, 1378246728], [-8.613108, 41.174442, 1378246743], [-8.609013, 41.173794, 1378246758], [-8.60562, 41.171769, 1378246773], [-8.601381, 41.171193, 1378246788], [-8.596908, 41.171679, 1378246803], [-8.593029, 41.170707, 1378246818], [-8.589555, 41.168439, 1378246833], [-8.586198, 41.166675, 1378246848], [-8.583093, 41.165757, 1378246863], [-8.582238, 41.163678, 1378246878], [-8.580753, 41.163669, 1378246893], [-8.57871, 41.164794, 1378246908], [-8.576604, 41.166765, 1378246923], [-8.574327, 41.168133, 1378246938], [-8.572275, 41.168916, 1378246953], [-8.569872, 41.168691, 1378246968], [-8.570052, 41.169816, 1378246983], [-8.569449, 41.170185, 1378246998], [-8.568459, 41.169357, 1378247013], [-8.56683, 41.168754, 1378247028], [-8.565516, 41.168871, 1378247043], [-8.564922, 41.167854, 1378247058], [-8.564427, 41.167152, 1378247073], [-8.562897, 41.167557, 1378247088], [-8.56215, 41.16672, 1378247103], [-8.560584, 41.166315, 1378247118], [-8.559162, 41.167188, 1378247133], [-8.558046, 41.167917, 1378247148], [-8.556849, 41.168592, 1378247163], [-8.554536, 41.168862, 1378247178], [-8.551701, 41.16861, 1378247193], [-8.549154, 41.167485, 1378247208], [-8.546895, 41.166432, 1378247223], [-8.54469, 41.16564, 1378247238], [-8.542485, 41.164884, 1378247253], [-8.54055, 41.164227, 1378247268], [-8.539551, 41.163876, 1378247283], [-8.537499, 41.163255, 1378247298], [-8.535303, 41.162256, 1378247313], [-8.53308, 41.161257, 1378247328], [-8.531217, 41.160933, 1378247343], [-8.529336, 41.159979, 1378247358], [-8.527005, 41.160024, 1378247373], [-8.525268, 41.1597, 1378247388], [-8.523603, 41.159259, 1378247403], [-8.521776, 41.159025, 1378247418], [-8.519994, 41.159574, 1378247433], [-8.519103, 41.160294, 1378247448], [-8.519103, 41.160951, 1378247463], [-8.519031, 41.161698, 1378247478], [-8.518995, 41.162301, 1378247493], [-8.519481, 41.163147, 1378247508], [-8.519796, 41.164029, 1378247523], [-8.519796, 41.164047, 1378247538], [-8.519787, 41.164038, 1378247553]]"
1378247380620000370,"[[-8.585541, 41.176467, 1378247380], [-8.585523, 41.176467, 1378247395], [-8.585523, 41.176467, 1378247410], [-8.585559, 41.176485, 1378247425], [-8.585532, 41.176476, 1378247440], [-8.585523, 41.176476, 1378247455], [-8.585532, 41.176485, 1378247470], [-8.585541, 41.176449, 1378247485], [-8.585568, 41.176467, 1378247500], [-8.585595, 41.17644, 1378247515], [-8.586207, 41.175324, 1378247530], [-8.587026, 41.17347, 1378247545], [-8.588187, 41.171535, 1378247560], [-8.589483, 41.169717, 1378247575], [-8.591841, 41.168277, 1378247590], [-8.594208, 41.16708, 1378247605], [-8.595702, 41.166585, 1378247620], [-8.598132, 41.165721, 1378247635], [-8.598159, 41.165766, 1378247650], [-8.598159, 41.165748, 1378247665], [-8.598636, 41.165568, 1378247680], [-8.600148, 41.164812, 1378247695], [-8.601552, 41.163858, 1378247710], [-8.603343, 41.162391, 1378247725], [-8.603757, 41.162139, 1378247740], [-8.603811, 41.162157, 1378247755], [-8.603892, 41.16204, 1378247770], [-8.605017, 41.161986, 1378247785], [-8.606484, 41.162031, 1378247800], [-8.608275, 41.162283, 1378247815], [-8.609355, 41.162157, 1378247830], [-8.609571, 41.161635, 1378247845], [-8.609508, 41.161608, 1378247860], [-8.609787, 41.161113, 1378247875], [-8.609904, 41.159169, 1378247890], [-8.60994, 41.157441, 1378247905], [-8.609985, 41.157324, 1378247920], [-8.610012, 41.155884, 1378247935], [-8.61003, 41.155263, 1378247950], [-8.610048, 41.154507, 1378247965], [-8.61012, 41.152626, 1378247980], [-8.610651, 41.151168, 1378247995], [-8.6112, 41.149512, 1378248010], [-8.611227, 41.147838, 1378248025], [-8.611893, 41.147793, 1378248040], [-8.619822, 41.147937, 1378248055], [-8.620371, 41.147001, 1378248070], [-8.620191, 41.146272, 1378248085], [-8.620173, 41.146236, 1378248100], [-8.618445, 41.14629, 1378248115], [-8.617608, 41.146218, 1378248130], [-8.617302, 41.144904, 1378248145], [-8.61624, 41.145201, 1378248160], [-8.615529, 41.145453, 1378248175], [-8.615367, 41.144949, 1378248190], [-8.614728, 41.145003, 1378248205], [-8.613891, 41.145264, 1378248220], [-8.613495, 41.145354, 1378248235], [-8.613522, 41.14575, 1378248250], [-8.612496, 41.146038, 1378248265], [-8.610894, 41.146038, 1378248280], [-8.610894, 41.145552, 1378248295], [-8.610876, 41.145561, 1378248310], [-8.610894, 41.145588, 1378248325], [-8.610903, 41.145417, 1378248340], [-8.611524, 41.144724, 1378248355], [-8.612559, 41.144058, 1378248370], [-8.613675, 41.143167, 1378248385], [-8.614413, 41.142879, 1378248400], [-8.614575, 41.142924, 1378248415], [-8.614602, 41.143059, 1378248430], [-8.614629, 41.143167, 1378248445]]"
1378246098620000664,"[[-8.610066, 41.140872, 1378246098], [-8.610408, 41.141142, 1378246113], [-8.613738, 41.141331, 1378246128], [-8.614521, 41.141565, 1378246143], [-8.614071, 41.142762, 1378246158], [-8.61318, 41.143563, 1378246173], [-8.612478, 41.144013, 1378246188], [-8.611722, 41.144688, 1378246203], [-8.610948, 41.14512, 1378246218], [-8.610804, 41.145696, 1378246233], [-8.6103, 41.146227, 1378246248], [-8.609256, 41.146767, 1378246263], [-8.608707, 41.147181, 1378246278], [-8.608887, 41.14746, 1378246293], [-8.610867, 41.147892, 1378246308], [-8.612064, 41.147919, 1378246323], [-8.612442, 41.148027, 1378246338], [-8.620065, 41.147748, 1378246353], [-8.620605, 41.148315, 1378246368], [-8.620884, 41.149782, 1378246383], [-8.620929, 41.149881, 1378246398]]"
1378247262620000338,"[[-8.649891, 41.154174, 1378247262], [-8.650296, 41.154867, 1378247277], [-8.651547, 41.156415, 1378247292], [-8.652069, 41.157504, 1378247307], [-8.652456, 41.158242, 1378247322], [-8.652636, 41.158503, 1378247337], [-8.652636, 41.158539, 1378247352], [-8.652681, 41.15853, 1378247367], [-8.652717, 41.15853, 1378247382], [-8.652735, 41.158539, 1378247397], [-8.652753, 41.15853, 1378247412], [-8.652762, 41.15853, 1378247427], [-8.652771, 41.158503, 1378247442], [-8.652762, 41.158485, 1378247457], [-8.65278, 41.158485, 1378247472], [-8.65278, 41.158476, 1378247487], [-8.65278, 41.158476, 1378247502], [-8.652798, 41.158485, 1378247517], [-8.652807, 41.158485, 1378247532], [-8.652816, 41.158485, 1378247547], [-8.652825, 41.158476, 1378247562], [-8.652816, 41.158494, 1378247577], [-8.652798, 41.158503, 1378247592], [-8.65278, 41.158512, 1378247607], [-8.652771, 41.158512, 1378247622], [-8.652789, 41.158476, 1378247637], [-8.652951, 41.158845, 1378247652], [-8.654013, 41.160132, 1378247667], [-8.655291, 41.160753, 1378247682], [-8.655975, 41.161311, 1378247697], [-8.65647, 41.161824, 1378247712], [-8.658009, 41.161077, 1378247727], [-8.661015, 41.159871, 1378247742], [-8.664435, 41.15853, 1378247757], [-8.665074, 41.158278, 1378247772], [-8.667441, 41.15736, 1378247787], [-8.670609, 41.156109, 1378247802], [-8.671527, 41.155749, 1378247817], [-8.672994, 41.155506, 1378247832], [-8.672067, 41.154489, 1378247847], [-8.670393, 41.15304, 1378247862], [-8.669097, 41.152248, 1378247877], [-8.668341, 41.151699, 1378247892], [-8.669907, 41.151213, 1378247907], [-8.670654, 41.150673, 1378247922], [-8.670951, 41.149962, 1378247937], [-8.670726, 41.149125, 1378247952], [-8.671563, 41.149008, 1378247967], [-8.672634, 41.149071, 1378247982], [-8.672634, 41.14908, 1378247997]]"
1378248155620000424,"[[-8.64378, 41.149422, 1378248155], [-8.643726, 41.149368, 1378248170], [-8.643105, 41.148828, 1378248185], [-8.641917, 41.148927, 1378248200], [-8.639784, 41.149197, 1378248215], [-8.637507, 41.149305, 1378248230], [-8.637948, 41.150736, 1378248245], [-8.637579, 41.152365, 1378248260], [-8.637498, 41.152743, 1378248275], [-8.635734, 41.152401, 1378248290], [-8.63442, 41.152041, 1378248305], [-8.634636, 41.151177, 1378248320], [-8.637255, 41.15052, 1378248335], [-8.641035, 41.149332, 1378248350], [-8.644347, 41.150421, 1378248365], [-8.643141, 41.15187, 1378248380], [-8.640927, 41.149683, 1378248395], [-8.640027, 41.146182, 1378248410], [-8.639064, 41.142384, 1378248425], [-8.636733, 41.138631, 1378248440], [-8.635428, 41.134779, 1378248455], [-8.635653, 41.130927, 1378248470], [-8.636022, 41.127984, 1378248485], [-8.637894, 41.127534, 1378248500], [-8.638263, 41.127165, 1378248515], [-8.636958, 41.126112, 1378248530], [-8.635473, 41.125707, 1378248545], [-8.633583, 41.126166, 1378248560], [-8.631981, 41.125842, 1378248575], [-8.631369, 41.124924, 1378248590], [-8.630802, 41.124177, 1378248605], [-8.629227, 41.124294, 1378248620], [-8.62749, 41.125176, 1378248635]]"
